jp,tw,kw
"「ひんし」の時こそ、一発逆転の
  チャンス。
  思いきって「たたかう」を選べば
  かくし必殺技がでることがあるぞ！","When Near Death, that's your
	chance to turn things around.
	A secret deathblow skill may come
	of it if you boldly select Battle!","Near-fatal status can result in
  special hidden skills. See what
  happens if you select command
  ""Fight""..."
"「ひっさつけん」は自分で名前を
  変えることができる。
  メニューの「とくしゅ」の
  「ひっさつけん」で技を選んで
  （Ａ）ボタンだ。つけおわったら
  スタートボタンで決定する。","You can change Deathblow Sword
	names yourself.
	Choose Deathblow Sword under
	Special on the menu and press
	the (A) button. When done setting
	it, finalize it with the start button.","Each SwdTech sword has its
  own unique name.
  You'll gain more SwdTech skills
  over time."
"「リフレク」の話
  １度リフレクではねかえった魔法は
  もう１度リフレクで、はねかえすことは
  できない。
  これを応用した攻撃がある。
  みかたにリフレクをかけ、そいつに
  攻撃魔法をかける…　わかるかな？
About Reflect...
	Magic that has been rebounded by
	Reflect once cannot be rebounded
	by Reflect a second time.
	There's an attack that applies this.
	Cast Reflect on an ally, then cast
	attack magic on him... get it?
""About Rflect""
  ""Rflect"" doesn't block spells
  that have been ""Rflected"" off
  others.
  Enemy protected by Rflect?
  Try bouncing an attack off a
  Rflect-protected individual in
  your party!
","About Reflect...
	Magic that has been rebounded by
	Reflect once cannot be rebounded
	by Reflect a second time.
	There's an attack that applies this.
	Cast Reflect on an ally, then cast
	attack magic on him... get it?","""About Rflect""
  ""Rflect"" doesn't block spells
  that have been ""Rflected"" off
  others.
  Enemy protected by Rflect?
  Try bouncing an attack off a
  Rflect-protected individual in
  your party!"
待て。,Wait.,Wait!
"ん？　お前か？
	通ってよい。","Hm? Oh, it's you.
	You may pass.","Hey! Oh, it's you.
	Proceed."
「この娘が…,: This girl...,"MAN: You mean, THIS young
	woman...?!"
{ﾃｨﾅ}「誰？あなたは。,{Tina}: Who are you?,"{TERRA}: Who do you think you
  are?"
「おっと失礼。,": Ah, excuse me.",MAN: Oh...sorry!
"「初対面のレディに対して
	　する態度ではなかったな。",": That was hardly a proper attitude
	 for my first meeting with a lady.",MAN: How rude of me to turn my back to a lady!
"機械文明の旗手
  砂漠の城フィガロを有し
  帝国との同盟も結んでいる若き王……","At the forefront of technological civilization
	is the young king of the desert castle of Figaro,
	bound in an alliance with the Empire...","The young king of Figaro Castle,
  ally to the Empire, and a
  master designer of machinery..."
"{ｴﾄﾞｶﾞｰ}「私はフィガロ国王
　エドガーだ",{Edgar}: I'm King {Edgar} of Figaro.,"{EDGAR}: I am {EDGAR}, King of
  Figaro."
"{ﾛｯｸ}「へへ
	　俺が王様と知り合いだなんて
	　ビックリしたかい？","{Lock}: Heh, heh.
	 Surprised I know a king?",{LOCKE}: Surprised someone like me knows a king?
{ﾛｯｸ}「じゃあ　またな。,"{Lock}: Well, see you later.",{LOCKE}: Talk to you later!
"{ｴﾄﾞｶﾞｰ}「帝国の兵士だってな。
	　心配はいらない。
	　フィガロはガストラ帝国と同盟国だ。
	しばらくゆっくりしていくといい。
	それに私はレディを傷つけるつもりは
	ない。","{Edgar}: You're an Imperial soldier, he says.
	 No need to worry.
	 Figaro is allied with the Gastra Empire.
	Make yourself at home and stay a while.
	Besides, I couldn't possibly harm a lady.","{EDGAR}: So...you're an Imperial
  soldier! No problem. Figaro and
  the Empire are allies!
  Please, relax while you're here.
  It's not in my blood to harm a
  lady."
"{ﾃｨﾅ}「なぜ
	　私によくしてくれるの？
	　私のこの力が。
{Tina}: Why are you being so nice to me?
	 It must be this power of mine.
{TERRA}: Look, why are you
  helping me?
  Is it because of my...abilities?
","{Tina}: Why are you being so nice to me?
	 It must be this power of mine.","{TERRA}: Look, why are you
  helping me?
  Is it because of my...abilities?"
"{ｴﾄﾞｶﾞｰ}「まず君の美しさが心を
	　とらえたからさ。
	第２に君の好きなタイプが気にかかる…","{Edgar}: First of all, your beauty has
	 captivated my heart.
	Second, I can't help but wonder what
	you're looking for in a man...","{EDGAR}: I'll give you 3 reasons:
	First of all, your beauty has
	captivated me!
	Second...I'm dying to know if
	I'm your type..."
魔導の力の事はその次かな。,"The power of sorcery comes third, I suppose.",I guess your...abilities...would be a distant 3rd.
"{ﾃｨﾅ}「………？
　どうしたの？","{Tina}: .........?
	 What's wrong?","{TERRA}: ......? 
	What's with you, anyway?"
"{ｴﾄﾞｶﾞｰ}「私の口説きの
　テクニックもさびついたかな？","{Edgar}: Could my flirting
	 technique have gone rusty?",{EDGAR}: Guess my technique's getting a bit rusty...
"{ｴﾄﾞｶﾞｰ}「また後で
　私のところへ来てくれ。",{Edgar}: Come see me again later.,{EDGAR}: Come find me when you feel rested.
"{ﾃｨﾅ}「そうなのね……
　普通の女の人なら、その言葉に何かの
　感情を持つのね。
　でも　わたしは……","{Tina}: It figures...
	 A normal woman would have felt
	 something at those words.
	 But I...","{TERRA}: Hmm...I suppose a normal girl would have found him dashing. 
	But I'm hardly...normal..."
"この先はフィガロ城機関部。
	急な出動に備えて
	メンテの真最中でっせ！","Beyond here is Figaro Castle's engine room.
	We're undergoing constant maintenance
	to be ready to go into action at any time!","Beyond is the Figaro Castle Engine Room.
	We're ready to leave at a moment's notice!"
"神官長「{エドガー}にも双子の
　弟がいました。
　家族おもいのいい子だったのに。","High Priest: {Edgar} had a
	 younger twin brother.
	 He was a good, family-minded boy.","MATRON: {EDGAR} has a twin
  brother. He was such a nice
  boy..."
"「兄貴
	　親父突然どうしたんだろ？
	　後継ぎの話なんてしだして…
	{ｴﾄﾞｶﾞｰ}「お前は気づかなかったか？
	　親父のやせた顔をみて。",": Big bro.
	 What's wrong with dad all of a sudden?
	 And they're starting to talk about an heir...
	{Edgar}: Haven't you realized?
	 Look how thin dad's face is.","YOUTH: Brother,
	What's wrong with father?
	What's all this talk of his successor?
	{EDGAR}: Are you blind?
	Look how thin his face has become!"
「？……何の事だい？,: ? ...what's that supposed to mean?,YOUTH: ?......What is it?
「兄貴！,: Big bro!,YOUTH: Brother!
「涙……？,: Tears...?,YOUTH: Tears......?!
"王族の地位をすて
  自由をこの手にするため城を飛び出した
  {エドガー}のふたごの弟","{Edgar}'s younger twin brother,
	who cast aside his status as royalty
	and fled the castle to take hold of freedom.","{EDGAR}'s twin brother, who
  traded the throne for his own
  freedom..."
"神官長「そう……
	　{マッシュ}という名で…あの子も
	　もう立派な大人になっているはず。
	国を出たときには
	{エドガー}よりも小さな
	おとなしい子でしたが
	今はどこでどうしているのかしら。
High Priest: Yes...
	 {Mash} was his name... That boy
	 should be a fine adult by now, too.
	When he left the country he was
	smaller and quieter than {Edgar}.
	I wonder what's become of him.
MATRON: Yes...
	His name is {SABIN}. Oh, he looked so like his father!
	When he ran away, he was a sweet little child.
	I wonder what he's like now?
","High Priest: Yes...
	 {Mash} was his name... That boy
	 should be a fine adult by now, too.
	When he left the country he was
	smaller and quieter than {Edgar}.
	I wonder what's become of him.","MATRON: Yes...
	His name is {SABIN}. Oh, he looked so like his father!
	When he ran away, he was a sweet little child.
	I wonder what he's like now?"
"{ｴﾄﾞｶﾞｰ}「いかがだったかな？
　私の城は？
{Edgar}: How was it?
	 My castle, that is.
{EDGAR}: Well?
  How do you like my castle?
","{Edgar}: How was it?
	 My castle, that is.","{EDGAR}: Well?
  How do you like my castle?"
"{エドガー}さま！
	帝国の者が来ました。","{Edgar}-sama!
	Someone from the Empire has come.","King {EDGAR}!
	Someone from the Empire to
	see you!"
{ｴﾄﾞｶﾞｰ}「ケフカか！,"{Edgar}: Cefca, I'll bet!",{EDGAR}: Probably Kefka!
"ｹﾌｶ「ふゥ～
	　ガストラさまの命令とは言え…","Cefca: Phew...
	 Gastra-sama's orders or not...","KEFKA: Phooey!
	Emperor Gestahl's stupid orders!"
